City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Provideniya,0,RU,1579993397,68,64.38,-173.3,-4.65,1.64
Fortuna,100,US,1579993398,93,40.6,-124.16,59.0,0.45
Tuktoyaktuk,100,CA,1579993398,96,69.45,-133.04,-16.22,9.64
Ergani,0,TR,1579993400,58,38.27,39.76,22.62,4.54
Aksu,59,CN,1579993400,75,41.12,80.26,22.17,0.88
Poros,67,GR,1579993401,79,37.5,23.45,53.01,0.89
Zyryanka,100,RU,1579993402,96,65.75,150.85,-28.52,1.88
Thomaston,1,US,1579993403,61,32.89,-84.33,52.0,3.1
Gorom-Gorom,85,BF,1579993403,9,14.44,-0.24,72.34,4.28
Wanning,100,CN,1579993403,92,18.8,110.4,66.27,4.71
Dogondoutchi,10,NE,1579993404,10,13.64,4.03,68.85,5.17
Cabo San Lucas,38,MX,1579993387,81,22.89,-109.91,73.0,1.34
Batagay-Alyta,0,RU,1579993405,54,67.8,130.41,-34.38,1.96
Marabu,19,MY,1579993327,10,4.41,114.01,77.0,1.34
Fort Saint James,83,CA,1579993360,95,54.43,-124.25,29.68,2.07
George Town,46,MY,1579993141,88,5.41,100.34,78.01,1.34
Aklavik,100,CA,1579993402,88,68.22,-135.01,-16.04,7.42
Longyearbyen,0,SJ,1579993142,57,78.22,15.64,-11.6,0.93
Hilo,53,US,1579993205,84,19.73,-155.09,78.01,1.79
Dapdap,4,PH,1579993409,86,12.06,125.49,79.9,4.46
Saskylakh,100,RU,1579993119,92,71.92,114.08,-20.0,7.86
Qaanaaq,0,GL,1579993410,44,77.48,-69.36,-12.51,2.29
Kahului,7,US,1579993393,66,20.89,-156.47,80.01,2.68
Kapaa,74,US,1579993412,59,22.08,-159.32,75.0,4.02
Tiksi,0,RU,1579993413,67,71.69,128.87,-26.52,2.46
Callaway,22,US,1579993414,66,30.15,-85.57,55.0,0.89
Altay,74,CN,1579993414,57,47.87,88.12,12.43,0.98
Beringovskiy,100,RU,1579993415,84,63.05,179.32,14.81,3.51
Narvik,94,NO,1579993415,92,68.44,17.43,25.0,5.81
Rayong,89,TH,1579993416,94,12.83,101.43,87.01,1.95
Vila Franca do Campo,100,PT,1579993416,86,37.72,-25.43,61.23,5.2
Hasaki,100,JP,1579993413,96,35.73,140.83,39.0,6.65
Sabang,67,ID,1579993417,65,5.89,95.32,82.18,3.96
Vidim,100,RU,1579993417,92,56.41,103.11,17.76,2.92
Iqaluit,38,CA,1579993418,60,63.75,-68.51,-27.0,4.02
Andenes,21,NO,1579993418,100,69.31,16.12,25.0,15.05
San Patricio,74,MX,1579993405,67,19.22,-104.7,78.51,3.67
Murakami,100,JP,1579993419,58,38.23,139.48,35.64,0.48
Wangqing,0,CN,1579993420,68,43.32,129.76,7.79,0.64
Port Blair,100,IN,1579993420,71,11.67,92.75,77.9,6.39
Texarkana,64,US,1579993421,50,33.43,-94.05,57.99,1.79
Abalak,82,RU,1579993421,96,58.13,68.59,-0.09,2.47
Nikolskoye,0,RU,1579993421,82,59.7,30.79,30.0,2.63
Kisangani,61,CD,1579993422,44,0.52,25.2,71.83,0.13
Santa Maria del Oro,100,MX,1579993422,54,25.93,-105.37,55.35,3.96
Bandar-e Lengeh,0,IR,1579993422,64,26.56,54.88,66.04,10.04
Clyde River,5,CA,1579993385,67,70.47,-68.59,-23.8,2.1
Kurilsk,76,RU,1579993423,83,45.23,147.88,11.19,12.42
Constantine,33,DZ,1579993424,59,36.37,6.61,46.18,1.78
Grindavik,40,IS,1579993394,80,63.84,-22.43,35.6,2.1
Selu,54,IN,1579993426,47,19.47,76.47,66.85,1.66
Rairangpur,3,IN,1579993426,44,22.27,86.18,52.99,0.85
Stranda,100,NO,1579993427,76,62.31,6.94,48.0,2.68
Jieshi,95,CN,1579993168,89,22.81,115.83,60.01,2.82
Cherskiy,100,RU,1579993391,95,68.75,161.3,-20.88,1.02
Petropavlovsk-Kamchatsky,100,RU,1579993429,83,53.05,158.65,22.77,4.68
Upernavik,78,GL,1579993429,95,72.79,-56.15,-13.83,3.06
Ostrovnoy,65,RU,1579993430,99,68.05,39.51,0.63,3.66
Lompoc,1,US,1579993263,82,34.64,-120.46,73.99,3.6
Kadoma,100,JP,1579993431,75,34.73,135.58,44.01,1.63
Taksimo,99,RU,1579993431,98,56.34,114.88,-12.08,0.25
Sioux Lookout,100,CA,1579993424,97,50.1,-91.92,24.66,1.68
San Quintin,45,MX,1579993432,64,30.48,-115.95,63.77,2.54
Baracoa,2,CU,1579993433,64,20.35,-74.5,75.52,2.9
Baker City,100,US,1579993433,89,44.77,-117.83,46.99,0.45
Thompson,100,CA,1579993433,96,55.74,-97.86,17.17,1.65
Kunduz,62,AF,1579993194,96,36.73,68.86,37.44,2.42
Baykit,100,RU,1579993434,88,61.67,96.37,13.75,3.61
Pajarito,84,CO,1579993205,86,5.29,-72.7,67.05,1.39
Kamenka,79,RU,1579993165,87,51.32,42.77,35.01,10.28
Barrow,1,US,1579993202,97,71.29,-156.79,-31.0,4.1
Hay River,58,CA,1579993436,93,60.82,-115.8,11.93,1.74
Ponta do Sol,16,PT,1579993436,79,32.67,-17.1,57.0,2.24
Shubarkuduk,100,KZ,1579993437,96,49.14,56.49,28.8,7.95
Flin Flon,100,CA,1579993437,97,54.77,-101.86,19.9,2.62
Clearwater,0,US,1579993201,76,27.97,-82.8,61.0,0.89
Batagay,1,RU,1579993438,94,67.63,134.63,-42.81,1.02
Nanortalik,100,GL,1579993440,75,60.14,-45.24,23.04,5.93
Brownsville,100,US,1579993338,78,25.9,-97.5,75.0,1.79
Bridlington,59,GB,1579993429,87,54.08,-0.19,44.01,4.92
Lagos,71,NG,1579993195,63,6.58,3.75,69.64,1.06
Riviere-au-Renard,12,CA,1579993237,93,49.0,-64.4,18.91,1.81
Belaya Gora,100,RU,1579993442,96,68.53,146.42,-28.03,1.6
Methoni,100,GR,1579993442,93,36.82,21.7,52.0,2.27
Tiznit,42,MA,1579993443,92,29.58,-9.5,47.37,1.56
Portland,74,US,1579993218,93,45.52,-122.68,59.0,0.77
Porto-Novo,45,BJ,1579993446,57,6.5,2.6,76.32,0.6
Brockville,100,CA,1579993201,96,44.58,-75.68,33.01,4.05
Sur,4,OM,1579993446,82,22.57,59.53,67.23,2.12
Saint-Augustin,36,CA,1579993447,78,51.23,-58.65,15.12,4.97
Suoyarvi,75,RU,1579993449,93,62.08,32.35,18.25,2.3
Guerrero Negro,0,MX,1579993422,53,27.98,-114.06,67.24,4.61
Dungarvan,100,IE,1579993450,83,52.09,-7.63,48.99,4.02
Aksehir,2,TR,1579993450,61,38.36,31.42,34.59,2.15
Dakar,46,SN,1579992905,70,14.69,-17.44,72.79,11.91
Timizart,50,DZ,1579993451,57,36.8,4.27,60.31,5.74
Lovington,0,US,1579993424,20,32.94,-103.35,66.0,5.36
Arlit,16,NE,1579993452,10,18.74,7.39,66.99,3.84
Adamovka,100,RU,1579993452,94,51.52,59.94,22.87,10.47
Whitefish,95,US,1579993271,86,48.41,-114.34,39.0,0.45
Egvekinot,79,RU,1579993453,87,66.32,-179.17,-3.48,1.25
Bay Roberts,0,CA,1579993414,80,47.6,-53.26,19.99,1.85
Yumen,0,CN,1579993455,69,40.28,97.2,13.01,1.19
Mabaruma,100,GY,1579993455,91,8.2,-59.78,72.25,1.61
Sao Filipe,33,CV,1579993455,61,14.9,-24.5,74.32,7.05
Eureka,100,US,1579993455,93,40.8,-124.16,59.0,0.45
Preobrazheniye,4,RU,1579993456,39,42.9,133.91,16.38,2.17
Nakusp,96,CA,1579993456,98,50.25,-117.8,28.81,0.86
Suihua,0,CN,1579993313,96,46.64,127.0,-6.43,3.03
Half Moon Bay,75,US,1579993166,68,37.46,-122.43,68.0,1.79
Goundi,0,TD,1579993457,14,9.36,17.37,63.75,1.87
Donskoye,67,RU,1579993458,74,45.46,41.97,33.01,9.83
Amod,0,IN,1579993458,36,21.98,72.9,63.21,2.52
Maricka,38,BA,1579993458,91,44.87,16.84,40.62,1.23
Marawi,0,PH,1579993459,90,8.0,124.29,77.0,1.79
Ilulissat,96,GL,1579993460,43,69.22,-51.1,10.4,4.6
Kostanay,100,KZ,1579993460,89,53.17,63.58,20.08,9.05
Taoudenni,44,ML,1579993457,18,22.68,-3.98,71.82,3.21
Qasigiannguit,96,GL,1579993461,43,68.82,-51.19,10.4,4.6
Nakhon Thai,99,TH,1579993461,64,17.1,100.84,63.81,1.05
Winchester,95,GB,1579993461,95,51.07,-1.32,46.99,0.45
Teknaf,0,BD,1579993462,80,20.86,92.31,48.63,0.7
Oodweyne,95,SO,1579993462,75,9.41,45.06,66.13,8.09
Tura,0,IN,1579993463,78,25.52,90.22,52.34,0.71
Meulaboh,73,ID,1579993401,82,4.14,96.13,81.19,2.92
Goderich,98,CA,1579993463,92,43.75,-81.72,36.0,1.34
Arrondissement de Morlaix,58,FR,1579993463,1,48.58,-4.0,45.0,3.98
Hoi An,100,VN,1579993464,81,15.88,108.33,75.47,3.88
Balkanabat,8,TM,1579993464,68,39.51,54.37,28.67,0.59
Ossora,100,RU,1579993464,92,59.24,163.07,31.39,14.9
Adrar,83,MR,1579993434,21,20.5,-10.07,76.23,4.94
Mayo,35,US,1579993451,77,38.89,-76.51,48.0,0.89
Fairbanks,100,US,1579993404,72,64.84,-147.72,-6.0,0.89
Novyy Urengoy,81,RU,1579993466,99,66.08,76.63,-5.13,2.45
Makakilo City,6,US,1579993467,51,21.35,-158.09,82.0,3.58
Can Tho,75,VN,1579993467,95,10.03,105.78,71.58,1.45
Mizan Teferi,98,ET,1579993467,44,6.98,35.58,66.83,1.35
Dudinka,97,RU,1579993174,96,69.41,86.18,4.87,3.77
Przhevalskoye,30,RU,1579993468,80,55.51,31.85,28.96,3.54
City of San Pedro,76,PH,1579993469,92,14.35,121.02,75.99,0.89
Kampot,56,KH,1579993207,80,10.62,104.18,77.41,0.63
Ranong,90,TH,1579993471,82,9.97,98.63,74.88,2.49
Vostok,0,RU,1579993471,85,46.49,135.88,-5.76,2.3
Tahoua,4,NE,1579993472,10,14.89,5.27,66.42,5.75
Panaba,3,MX,1579993472,79,21.28,-88.27,71.53,4.53
Puerto Rondon,33,CO,1579993472,48,6.28,-71.1,81.9,2.34
Avera,2,US,1579993473,80,33.19,-82.53,50.0,3.56
Belomorsk,52,RU,1579993473,92,64.52,34.77,7.02,3.64
Awjilah,12,LY,1579993427,52,29.11,21.29,53.08,3.88
Hong Kong,100,HK,1579993370,95,22.29,114.16,62.01,6.92
Khatanga,57,RU,1579993475,91,71.97,102.5,-24.14,1.29
Uyemskiy,0,RU,1579993475,96,64.47,40.85,-5.51,1.36
Ust-Nera,81,RU,1579993476,97,64.57,143.2,-40.95,1.07
Vardo,100,NO,1579993477,70,70.37,31.11,23.18,12.77
Phalodi,0,IN,1579993477,33,27.13,72.37,62.71,3.5
Muros,37,ES,1579993478,93,42.78,-9.06,51.01,1.66
Atar,87,MR,1579993478,23,20.52,-13.05,72.72,4.43
Kontagora,0,NG,1579993381,14,10.4,5.47,69.98,3.96
Tazovsky,89,RU,1579993480,97,67.47,78.7,-5.24,2.36
Arrecife,0,ES,1579993480,71,28.96,-13.55,60.69,2.1
Harper,62,LR,1579993183,96,4.38,-7.72,77.23,0.62
Vitre,74,FR,1579993482,95,48.12,-1.21,41.0,3.25
San Antonio,90,US,1579993186,77,29.42,-98.49,64.0,5.7
Itoman,100,JP,1579993384,88,26.12,127.67,71.01,4.47
Bayshore Gardens,1,US,1579993482,59,27.43,-82.59,62.01,5.1
Sulangan,13,PH,1579993483,83,11.14,123.72,80.4,3.01
Hagere Selam,100,ET,1579993483,88,6.48,38.52,54.97,1.4
Sioux Falls,40,US,1579993322,79,43.55,-96.7,26.01,3.1
Edd,59,ER,1579993484,71,13.93,41.69,70.99,3.19
Krasnosel'kup,92,RU,1579993485,99,65.7,82.47,-6.43,3.7
Kosh-Agach,13,RU,1579993486,74,50.0,88.67,-3.62,0.86
Mehamn,100,NO,1579993486,77,71.04,27.85,17.69,9.48
Nyurba,96,RU,1579993423,97,63.28,118.33,-18.4,2.85
Ixtapa,100,MX,1579993487,100,20.7,-105.2,71.01,0.45
Mersa Matruh,0,EG,1579993487,56,31.35,27.25,57.94,0.55
Koutsouras,74,GR,1579993488,78,35.03,25.95,50.0,0.45
Slupca,99,PL,1579993488,86,52.29,17.87,33.01,1.79
Stonewall,100,CA,1579993488,85,50.13,-97.33,24.01,5.81
Hirado,100,JP,1579993489,93,33.36,129.55,50.0,1.79
Vernon,95,CA,1579993215,90,50.26,-119.27,37.99,0.89
Mindelo,98,CV,1579993490,82,16.89,-24.98,68.9,7.37
La Palma,75,US,1579993247,27,33.85,-118.05,75.99,2.1
Kingman,67,US,1579993195,32,35.19,-114.05,73.99,4.02
Acajutla,0,SV,1579993492,56,13.59,-89.83,82.0,0.89
Nome,0,US,1579993492,71,64.5,-165.41,-7.51,3.51
Praia da Vitoria,100,PT,1579993435,63,38.73,-27.07,58.77,2.34
Bathsheba,95,BB,1579993493,79,13.22,-59.52,77.88,4.16
Ponta Delgada,100,PT,1579993493,86,37.73,-25.67,61.23,5.2
West Lorne,90,CA,1579993493,97,42.6,-81.6,35.6,6.2
Shelburne,100,CA,1579993495,99,44.08,-80.2,36.0,1.79
Hamilton,100,US,1579993220,91,39.18,-84.53,35.01,2.24
Seydi,45,TM,1579993496,81,39.48,62.91,27.45,0.6
Salalah,45,OM,1579993400,86,17.02,54.09,71.08,2.13
Koubia,32,GN,1579993497,13,11.58,-11.9,66.96,0.55
Brae,100,GB,1579993396,81,60.4,-1.35,46.94,10.32
Sitka,100,US,1579993446,93,57.05,-135.33,41.65,9.16
Guadalupe y Calvo,45,MX,1579993498,60,26.1,-106.97,50.65,2.62
Road Town,2,VG,1579993498,86,18.42,-64.62,77.0,1.79
Talaya,100,RU,1579993499,94,61.38,152.75,-30.77,3.68
Xining,0,CN,1579993499,77,36.62,101.77,10.15,2.06
Igarka,99,RU,1579993499,96,67.47,86.58,2.77,2.99
Tommot,98,RU,1579993500,98,58.96,126.29,-11.09,0.93
Robertsport,0,LR,1579993501,83,6.75,-11.37,81.12,3.52
Raudeberg,100,NO,1579993501,91,61.99,5.14,45.0,17.48
Sorland,100,NO,1579993502,79,67.67,12.69,35.13,13.34
Sebezh,15,RU,1579993502,80,56.3,28.47,30.13,2.53
Wojewodztwo Lubelskie,99,PL,1579993503,74,51.0,23.0,32.09,2.94
Wukari,24,NG,1579993503,12,7.85,9.78,69.75,2.81
Yar-Sale,86,RU,1579993504,99,66.83,70.83,-4.4,2.39
Raja,12,SS,1579993504,19,8.46,25.68,61.81,2.72
Nuuk,94,GL,1579993505,78,64.18,-51.72,12.2,3.1
Severo-Kuril'sk,100,RU,1579993505,92,50.68,156.12,18.72,19.44
Great Yarmouth,100,GB,1579993483,99,52.61,1.73,43.0,2.24
Brigantine,58,US,1579993506,97,39.41,-74.36,50.0,7.6
Lavrentiya,0,RU,1579993506,76,65.58,-171.0,-13.2,1.01
Winnemucca,63,US,1579993507,59,40.97,-117.74,48.99,2.68
Comitan,8,MX,1579993424,57,16.25,-92.13,72.18,3.91
Bintulu,88,MY,1579993508,10,3.17,113.03,77.0,0.89
Troitsko-Pechorsk,99,RU,1579993509,98,62.71,56.2,-1.5,1.98
Sergeevka,100,KZ,1579993509,88,53.88,67.42,16.36,9.16
Anadyr,100,RU,1579993510,94,64.75,177.48,3.56,5.12
Honningsvag,100,NO,1579993510,67,70.98,25.97,22.89,11.25
Banda Aceh,95,ID,1579993510,87,5.56,95.32,71.38,1.42
Bobo-Dioulasso,3,BF,1579993510,9,11.18,-4.3,72.14,2.3
Ulaangom,99,MN,1579993511,90,49.98,92.07,-6.56,1.26
San Cristobal,100,VE,1579993337,98,7.77,-72.22,58.15,1.06
Sibolga,95,ID,1579993512,95,1.74,98.78,71.78,1.27
Male,100,MV,1579993512,80,4.17,73.51,80.91,6.71
Kobelyaky,98,UA,1579993512,85,49.15,34.2,32.27,5.44
Junction City,90,US,1579993331,74,39.03,-96.83,37.4,1.5
Smolenka,42,RU,1579993513,94,52.14,113.5,-3.05,0.5
Talnakh,100,RU,1579993513,94,69.49,88.4,2.93,2.88
Tsimmerbude,93,RU,1579993514,87,54.67,20.13,39.74,6.16
Laguna,1,US,1579993255,82,38.42,-121.42,63.0,1.5
Laurel,90,US,1579993260,81,39.1,-76.85,48.0,2.1
Bonavista,6,CA,1579993383,77,48.65,-53.11,19.0,4.92
Vestmanna,100,FO,1579993516,90,62.16,-7.17,43.39,6.54
Takoradze,94,GH,1579993516,86,4.88,-1.76,75.9,0.59
Osa,100,RU,1579993517,96,57.28,55.46,17.22,2.36
Zhigansk,63,RU,1579993517,89,66.77,123.37,-31.56,6.37
Nouadhibou,100,MR,1579993518,68,20.93,-17.03,64.69,8.73
Tabory,100,RU,1579993518,95,58.52,64.55,7.29,2.84
Kristiansund,100,NO,1579993518,91,63.11,7.73,41.95,7.82
Bac Lieu,98,VN,1579993519,95,9.29,105.72,71.92,1.86
Priladozhskiy,46,RU,1579993520,82,59.85,31.48,30.0,5.39
Kobryn,34,BY,1579993520,91,52.21,24.36,30.07,2.79
Dikson,100,RU,1579993381,96,73.51,80.55,-7.82,3.16
Paamiut,93,GL,1579993520,64,61.99,-49.67,18.07,9.71
Limbang,76,MY,1579993521,88,4.75,115.0,80.01,1.34
Derac,46,HT,1579993522,83,19.65,-71.82,70.14,2.0
Pallisa,100,UG,1579993522,79,1.15,33.71,70.48,1.45
Aksarka,84,RU,1579993522,100,66.56,67.8,-7.78,1.91
Olafsvik,99,IS,1579993523,79,64.89,-23.71,33.89,3.48
Djebeniana,100,TN,1579993523,53,35.03,10.91,60.48,4.25
Gashua,4,NG,1579993524,19,12.87,11.05,58.77,4.6
Bubaque,92,GW,1579993410,75,11.28,-15.83,77.58,5.98
Turukhansk,93,RU,1579993525,94,65.82,87.98,0.25,0.96
Mae Ramat,49,TH,1579993525,59,16.98,98.52,51.37,0.48
Pevek,100,RU,1579993398,96,69.7,170.31,-13.14,0.8
Lisala,42,CD,1579993325,38,2.15,21.52,68.4,0.52
Palmer,90,US,1579993299,93,42.16,-72.33,45.0,3.6
Camargo,100,MX,1579993531,30,27.67,-105.17,66.96,4.0
Berlevag,100,NO,1579993449,73,70.86,29.09,22.66,12.25
Torbay,0,CA,1579993447,79,47.67,-52.73,19.99,1.79
Mayya,0,RU,1579993532,91,61.73,130.28,-35.75,1.5
Nakamura,100,JP,1579993532,94,32.98,132.93,48.04,0.58
Vestmannaeyjar,70,IS,1579993533,65,63.44,-20.27,39.11,6.88
Hibbing,90,US,1579993533,79,47.43,-92.94,28.99,3.6
Klaksvik,100,FO,1579993534,86,62.23,-6.59,45.84,8.36
Vila,1,PT,1579993536,89,42.03,-8.16,51.01,1.68
Yangi Marg`ilon,100,UZ,1579993537,85,40.43,71.72,39.85,0.46
Bolshaya Martynovka,99,RU,1579993537,83,47.27,41.67,36.21,7.57
Sistranda,100,NO,1579993538,93,63.73,8.83,45.0,11.18
Kholm,92,RU,1579993539,85,59.27,32.85,25.61,3.73
Bonthe,1,SL,1579993539,90,7.53,-12.51,76.89,2.64
Sobolevo,49,RU,1579993540,84,54.43,31.9,29.46,4.73
Ardakan,74,IR,1579993541,56,32.31,54.02,41.14,3.08
Arona,75,ES,1579993542,87,28.1,-16.68,63.0,3.1
Vuktyl,87,RU,1579993542,95,63.86,57.31,-8.32,1.96
Verkhnevilyuysk,91,RU,1579993543,96,63.45,120.32,-20.36,3.42
Linjiang,0,CN,1579993543,80,41.81,126.91,7.2,0.64
Kungurtug,91,RU,1579993543,75,50.6,97.52,4.08,1.8
Altagracia de Orituco,100,VE,1579993544,92,9.86,-66.38,66.6,1.66
Kenai,30,US,1579993467,62,60.55,-151.26,9.0,4.02
Chifeng,0,CN,1579993545,71,42.27,118.96,12.7,1.43
Los Llanos de Aridane,0,ES,1579993545,75,28.66,-17.92,60.01,0.89
Kumul,0,CN,1579993546,75,42.8,93.45,6.49,0.83
Juneau,100,US,1579993546,93,58.3,-134.42,30.99,2.96
Balabac,31,PH,1579993547,81,7.99,117.06,81.45,2.68
Serravalle,80,SM,1579993547,90,43.97,12.48,44.01,0.89
Athens,77,GR,1579993547,86,37.98,23.72,53.01,1.66
Phuket,86,TH,1579993068,77,8.0,98.25,78.21,3.72
Saint Anthony,90,US,1579993548,94,45.02,-93.22,32.0,4.1
Uglich,100,RU,1579993548,87,57.53,38.33,26.83,5.86
Kudahuvadhoo,100,MV,1579993362,79,2.67,72.89,81.21,6.28
Nishihara,100,JP,1579993549,94,26.18,127.76,71.01,2.68
Hambantota,62,LK,1579993550,73,6.12,81.12,78.12,9.38
Barra de Tecoanapa,0,MX,1579993551,64,16.52,-98.75,80.96,3.07
Skjervoy,83,NO,1579993551,85,70.03,20.97,23.04,3.67
Bafra,42,TR,1579993551,60,41.57,35.91,36.63,2.74
Oktyabrskoye,17,RU,1579993552,61,43.06,44.74,29.84,1.17
Porto Santo,12,PT,1579993552,96,33.07,-16.34,46.0,0.95
Rizhao,100,CN,1579993553,59,35.43,119.46,33.35,4.08
Sandwick,95,GB,1579993553,82,60.0,-1.25,46.2,9.6
Prescott,64,US,1579993554,24,34.54,-112.47,64.0,1.79
Coahuayana Viejo,90,MX,1579993554,79,18.73,-103.68,73.22,1.34
West Wendover,67,US,1579993555,76,40.74,-114.07,40.95,1.22
Veraval,0,IN,1579993555,33,20.9,70.37,64.35,3.8
Annau,5,TM,1579993556,73,37.89,58.52,32.61,4.61
Ishigaki,100,JP,1579993557,87,24.34,124.16,73.6,6.21
Drawsko Pomorskie,100,PL,1579993557,96,53.53,15.81,34.0,0.89
Ust'-Koksa,100,RU,1579993558,95,50.27,85.61,14.74,3.29
Ocos,15,GT,1579993558,71,14.51,-92.19,79.52,2.02
Husavik,90,IS,1579993558,92,66.04,-17.34,30.2,4.1
Bani Walid,100,LY,1579993559,30,31.76,13.99,58.24,1.2
Mecca,0,SA,1579993559,27,21.43,39.83,59.88,4.92
Mahibadhoo,100,MV,1579993559,79,3.78,72.97,80.82,6.21
Asau,65,RO,1579993560,80,46.43,26.4,27.0,2.68
Razdolnoye,0,RU,1579993560,59,43.55,131.92,6.94,1.86
Nemuro,100,JP,1579993354,68,43.32,145.57,17.28,7.15
Oistins,95,BB,1579993561,79,13.07,-59.53,77.88,4.16
Oksfjord,92,NO,1579993562,83,70.24,22.35,23.0,1.34
Kaita,100,JP,1579993562,52,34.37,132.55,45.0,1.49
Patiya,0,BD,1579993266,85,22.29,91.98,50.25,1.11
Mawlamyine,100,MM,1579993563,66,16.49,97.63,62.35,2.37
Hofn,87,IS,1579993384,91,64.25,-15.21,36.64,2.45
Wahiawa,6,US,1579993564,51,21.5,-158.02,82.0,3.58
Merritt Island,1,US,1579993565,39,28.54,-80.67,64.99,2.6
Sibenik,47,HR,1579993565,81,43.73,15.91,53.01,1.5
Staryy Nadym,83,RU,1579993565,98,65.61,72.68,-2.74,1.26
Ola,100,RU,1579993566,89,59.58,151.28,-6.97,6.59
Verkhnya Syrovatka,89,UA,1579993566,92,50.83,34.96,32.81,5.03
Salinas,69,US,1579993273,85,36.68,-121.66,68.0,2.24
Bahia Honda,54,CU,1579993567,89,22.9,-83.16,70.23,6.56
Biltine,0,TD,1579993568,18,14.53,20.92,60.6,8.14
Praia,75,CV,1579993568,72,14.92,-23.51,71.33,5.85
Lata,0,PT,1579993335,92,40.16,-8.33,50.0,0.37
Jacmel,0,HT,1579993569,64,18.23,-72.53,79.57,2.64
Katsuura,100,JP,1579993569,92,35.13,140.3,39.99,0.45
Chichi,7,NG,1579993569,11,7.27,8.93,72.14,3.59
Suez,0,EG,1579993570,66,29.97,32.53,46.78,1.15
Bereda,5,ES,1579993571,97,43.27,-7.54,45.0,0.89
Zheleznodorozhnyy,80,RU,1579993571,61,55.75,38.0,33.01,3.13
Pizarro,95,CO,1579993571,83,4.95,-77.37,80.53,5.92
Tibiao,99,PH,1579993572,81,11.29,122.04,80.2,2.07
Dingle,43,PH,1579993451,84,11.0,122.67,78.64,2.55
Furano,100,JP,1579993573,86,43.28,142.47,10.08,1.2
Port Said,0,EG,1579993573,53,31.26,32.28,57.22,2.26
Horgesti,67,RO,1579993573,80,46.43,27.07,27.0,2.68
San Jose,75,US,1579993518,68,37.34,-121.89,68.0,3.1
Foumban,25,CM,1579993574,22,5.73,10.9,63.73,1.44
Nasirabad,0,IN,1579993575,39,26.3,74.73,52.02,0.82
Samagaltay,54,RU,1579993575,75,50.6,95.0,-7.33,0.66
Batticaloa,93,LK,1579993576,91,7.71,81.69,69.85,1.22
OErnskoeldsvik,100,SE,1579993576,97,63.29,18.72,29.91,2.46
College,95,US,1579993576,88,64.86,-147.8,-6.0,1.73
Roald,100,NO,1579993578,90,62.58,6.13,48.0,5.36
Twentynine Palms,1,US,1579993578,23,34.14,-116.05,78.8,3.6
Rock Sound,16,BS,1579993578,66,24.9,-76.2,73.11,2.14
